rating,username
2050.95,Byte_Walker
2050.86,sanyamsinghal
2050.56,CurbStomp
2050.07,aksh02
2049.43,DevanshJ
2049.3,rkas
2048.88,atulgarg
2048.77,alankritsingh
2048.62,arpitbhatt
2048.58,nikunjsoni
2048.23,MuheshKumar
2047.36,gautamsw5
2047.18,raushan303
2047.15,avsd_47
2046.44,a03_gupta
2046.17,arham_doshi
2046.1,atul2938
2045.64,Sultan_03
2045.28,dipjoy_10
2044.71,kosprov69
2044.57,mtnshh
2044.34,_hardtime
2044.18,yeswanth_b
2043.7,Sambhu98
2043.26,nenenene
2043.18,Priyansh_31dec
2042.3,msa_tanzeel
2042.21,tejustiwari
2041.35,dibas1
2041.23,jhasaurav215
2040.67,rj13_to
2040.63,pappu_bhai
2040.27,shaunak_vyas
2040.12,deepansh10
2040.09,snavneet561
2040.06,SameerNITW
2039.4,Rahul_Kumar_Party
2039.36,devrajkumar1903
2038.74,KantSurya
2038.48,Prajeetthakur
2038.19,ashish1729
2038.05,Priyansh_34
2037.94,canshul
2037.42,sharvin2187
2037.21,striver79
2036.33,preeyadarshee
2036.2,aniruddha97bhatt
2035.49,abhishekpayal2702
2035.31,dakshbhabra
2035.26,yagamikira
2035,absolute_Coder
2034.94,godxpunk
2034.22,Fast_code
2034.14,shri2k
2034.05,shubham_965
2034.04,godiswithme
2033.75,winner07
2033.69,AnujStarlord
2033.04,aakash4916
2032.87,ankitcs
2032.78,prashanttholia
2032.16,FrostGod
2031.94,kaustubh_op
2031.91,the_brainiac
2030.69,immortal3
2030.66,kishansairam9
2030.44,syedmizbah
2030.16,nishantrana0987
2030.08,aloo08051999
2029.98,npc_69
2029.56,harnoorSta
2029.29,ygml
2029.07,diyora13
2029.05,srijansaxena18
2028.79,anujsingh14
2028.73,Sandeep_Padhi
2028.1,sawan_patel
2027.54,nitinnarwal
2027.21,spiraljava
2026.6,dhiraj-01
2026.18,SarcasticMonk
2026.17,prajwal_m_p
2026.16,namangoyal198
2026.14,satylogin
2025.96,prakhar3agrwal
2025.81,mdazmat9
2025.21,saurabh_kl
2025.1,ddexter_12
2024.98,rahil_sehgal
2024.62,hello_world123
2024.01,Rohitpandey2906
2023.7,illusion999
2023.66,user1597C
2023.66,nagasaisujan160998
2023.59,mangoDD
2023.32,Kingash_
2023.27,roastingclub
2023.04,arjune
2023.03,vineet_001
2022.92,sharmamayank94
2022.59,tesiitg
2022.56,HritikRBelani
2022.16,praveenchiliveri
2021.88,lakshay05
2021.84,Invulnerable
2021.73,jaydutt
2021.4,ajitshiva007
2021.3,arunsiddharth
2021.21,H4ckOm
2020.89,pritamjitmanna
2020.88,Jay_Bisht
2020.83,aman_2005
2020.77,amitupadhyay468
2020.58,niketan21
2020.17,karandoshi
2019.54,Balakrishna236
2019.4,nitish6174
2019.33,Karad_1818
2019.33,mandysingh150
2019,_Naman_
2018.73,sbh69840
2018.43,krishna122356
2018.4,The_Phoenix
2018.2,mvishwam36
2017.47,akshitgarg09
2017.17,Vaibhav_Domadia
2017.03,Sanjeev1709912
2017.01,hit7sh
2016.74,aniruth
2016.37,rajankeshari
2016.32,ForzaConqueror
2015.92,Pyder
2015.92,naveen4737
2015.63,mklgoyal167
2015.52,dgupta0812
2015.32,jinal2211
2015.01,KT13
2014.99,frost_
2014.84,s59_60r
2014.42,p_unit
2014.06,rajpurohit
2013.59,sachuverma
2013.57,satyambansal183
2013,animesh328
2012.92,iavanish
2012.33,rajatkhanna
2012.25,risky_coder
2011.73,Levi19
2010.76,Valkyrie006
2010.42,ironmaniiith
2010.28,_NickB
2009.48,user4006i
2008.75,akshatjindal02
2008.69,shunmahi2000
2008.51,srinivasteja18
2008.19,abhi698_mnnit
2007.42,vijay_joshi16
2007.38,vaibhav97
